engineer,date,size,helper_id,helper,species,order,con,inj,g0,g0t,X,Xt,Xnt,surv,inj.lambda,g0.lambda
AW,1,8680,265,DNA,dbm,lepidoptera,3069,1709,282,43,11,11,0,0.165008777,0.006436513,0.039007092
AW,2,15747,265,DNA,pbw,lepidoptera,4033,423,226,14,7,3,4,0.53427896,0.016548463,0.030973451
AW,3,9298,265,DNA,pbw,lepidoptera,4016,736,216,22,5,2,3,0.293478261,0.006793478,0.023148148
AW,4,8448,265,DNA,pbw,lepidoptera,4018,295,58,14,5,2,3,0.196610169,0.016949153,0.086206897
AW,5,14017,265,DNA,pbw,lepidoptera,3402,2549,486,72,13,5,5,0.190663005,0.005100039,0.026748971
AW,6,11192,265,DNA,pbw,lepidoptera,4068,1535,261,75,6,NA,NA,0.170032573,0.003908795,0.022988506
AW,7,14063,265,DNA,pbw,lepidoptera,4125,1186,71,57,2,NA,NA,0.059865093,0.001686341,0.028169014
AW,8,15024,265,DNA,pbw,lepidoptera,4135,3147,324,50,4,4,0,0.102955195,0.001271052,0.012345679
AW,9,10152,265,DNA,pbw,lepidoptera,4143,1467,238,8,1,1,0,0.162235855,0.000681663,0.004201681
AW,11,11459,265,DNA,pbw,lepidoptera,4208,2543,391,52,2,2,0,0.153755407,0.000786473,0.00511509
AW,12,11459,265,DNA,pbw,lepidoptera,4209,4838,483,93,1,1,0,0.099834642,0.000206697,0.002070393
AW,13,13369,265,DNA,pbw,lepidoptera,4170,1680,431,9,2,0,1,0.256547619,0.001190476,0.004640371
AW,14,8707,265,DNA,pbw,lepidoptera,4026,1845,178,61,5,4,1,0.096476965,0.002710027,0.028089888
AW,15,12560,265,DNA,pbw,lepidoptera,4225,2000,414,2,0,NA,NA,0.207,0,0
AW,16,12359,265,DNA,pbw,lepidoptera,4227,1967,249,0,2,0,2,0.126588714,0.001016777,0.008032129
AW,17,12690,265,DNA,pbw,lepidoptera,4315,1748,308,0,2,0,2,0.176201373,0.001144165,0.006493506
AW,18,12489,265,DNA,pbw,lepidoptera,4317,1487,141,0,0,NA,NA,0.094821789,0,0
AW,19,10628,265,DNA,pbw,lepidoptera,4014,1245,170,1,2,NA,NA,0.136546185,0.001606426,0.011764706
AW,20,14013,265,DNA,dbm,lepidoptera,4319,2136,418,41,10,5,5,0.195692884,0.004681648,0.023923445
AW,21,17546,265,DNA,pbw,lepidoptera,4321,1778,229,40,4,4,0,0.1287964,0.002249719,0.017467249
AW,22,18210,265,DNA,pbw,lepidoptera,4323,2286,565,8,4,0,4,0.247156605,0.001749781,0.007079646
AW,23,13955,265,DNA,pbw,lepidoptera,4326,1722,298,0,0,NA,NA,0.173054588,0,0
AW,24,14444,265,DNA,pbw,lepidoptera,4339,1512,221,62,2,2,0,0.146164021,0.001322751,0.009049774
AW,25,15156,265,DNA,pbw,lepidoptera,4340,1807,227,0,0,NA,NA,0.125622579,0,0
AW,26,10534,265,DNA,pbw,lepidoptera,4247,1945,588,190,0,NA,NA,0.302313625,0,0
AW,27,9995,265,DNA,pbw,lepidoptera,4156,624,44,28,0,NA,NA,0.070512821,0,0
AW,28,12626,265,DNA,dbm,lepidoptera,4343,4714,2833,42,3,2,1,0.600975817,0.000636402,0.001058948
AW,29,9665,265,DNA,pbw,lepidoptera,4344,1108,337,65,0,NA,NA,0.304151625,0,0
AW,30,9665,265,DNA,dbm,lepidoptera,4344,3884,1842,64,5,5,0,0.474253347,0.001287333,0.002714441
AW,31,9928,265,DNA,dbm,lepidoptera,4432,1265,81,26,2,2,0,0.064031621,0.001581028,0.024691358
AW,32,12357,265,DNA,dbm,lepidoptera,4430,2793,114,113,2,2,0,0.040816327,0.000716076,0.01754386
AW,33,12357,265,DNA,pbw,lepidoptera,4430,985,176,NA,2,NA,NA,0.178680203,0.002030457,0.011363636
AW,34,13419,265,DNA,pbw,lepidoptera,4493,1519,220,37,0,NA,NA,0.144832126,0,0
AW,35,12128,265,DNA,pbw,lepidoptera,4463,1927,213,3,0,NA,NA,0.11053451,0,0
AW,36,9928,265,DNA,dbm,lepidoptera,4464,2098,360,31,3,1,2,0.171591992,0.001429933,0.008333333
AW,37,13419,265,DNA,dbm,lepidoptera,4493,990,NA,6,2,0,2,NA,0.002020202,NA
AW,38,13434,265,DNA,pbw,lepidoptera,4525,529,NA,53,3,NA,NA,NA,0.005671078,NA
AW,39,7324,265,DNA,dbm,lepidoptera,4535,1801,292,NA,0,NA,NA,0.162132149,0,0
AW,40,7324,265,DNA,dbm,lepidoptera,4534,1779,175,NA,0,NA,NA,0.098369871,0,0
AW,42,11297,265,DNA,dbm,lepidoptera,4667,1301,NA,NA,7,6,1,NA,0.005380477,NA
AW,44,9990,265,DNA,dbm,lepidoptera,4694,1328,558,0,5,0,5,0.420180723,0.00376506,0.008960573
AW,45,9990,265,DNA,dbm,lepidoptera,4695,1086,383,0,3,NA,NA,0.35267035,0.002762431,0.007832898
AW,46,15981,265,DNA,dbm,lepidoptera,4651,1256,384,4,0,NA,NA,0.305732484,0,0
AW,NA,12621,265,DNA,dbm,lepidoptera,4434,NA,NA,92,2,NA,NA,NA,NA,NA
AW,NA,9868,265,DNA,dbm,lepidoptera,4590,NA,766,15,5,2,3,NA,NA,0.006527415
AW,NA,9319,265,DNA,dbm,lepidoptera,4686,NA,843,33,1,0,1,NA,NA,0.00118624
AW,NA,11973,265,DNA,pbw,lepidoptera,4270,NA,661,222,3,2,1,NA,NA,0.004538578
AW,NA,14013,265,DNA,pbw,lepidoptera,4319,1840,111,47,5,2,3,0.060326087,0.002717391,0.045045045
AW,NA,12126,265,DNA,pbw,lepidoptera,4457,785,NA,63,2,NA,,NA,0.002547771,NA
AW,NA,8683,265,DNA,pbw,lepidoptera,3069,NA,288,17,5,4,1,NA,NA,0.017361111
AW,NA,10476,265,DNA,pbw,lepidoptera,4060,NA,110,57,5,4,2,NA,NA,0.045454545
MG,1,11860,265,DNA,pbw,lepidoptera,4698,2912,232,NA,3,NA,NA,0.07967033,0.00103022,0.012931034
SM,1,14720,265,DNA,dbm,lepidoptera,1138,3104,584,NA,4,NA,NA,0.18814433,0.00128866,0.006849315
SM,2,10638,265,DNA,dbm,lepidoptera,3441,1925,1462,NA,7,NA,NA,0.759480519,0.003636364,0.004787962
SM,3,7990,265,DNA,dbm,lepidoptera,4389,2410,922,NA,6,NA,NA,0.382572614,0.002489627,0.006507592
SM,4,6520,265,DNA,dbm,lepidoptera,4570,1202,463,NA,3,NA,NA,0.385191348,0.00249584,0.006479482
MED,NA,10704,NA,NA,mf,diptera,4483,1000,190,NA,5,NA,NA,0.19,0.005,0.026315789
MED,NA,11711,NA,NA,mf,diptera,4485,1100,158,NA,3,NA,NA,0.143636364,0.002727273,0.018987342
MED,NA,10555,NA,NA,ae,diptera,4626,2961,85,NA,4,NA,NA,0.028706518,0.001350895,0.047058824
MED,NA,10555,NA,NA,mf,diptera,4626,895,46,NA,0,NA,NA,0.051396648,0,0
MED,NA,16511,NA,NA,of,diptera,4705,12000,230,NA,10,NA,NA,0.019166667,0.000833333,0.043478261
MED,NA,10400,NA,NA,mf,diptera,4324,600,98,NA,2,NA,NA,0.163333333,0.003333333,0.020408163
MED,NA,12126,NA,NA,mf,diptera,4642,1100,176,NA,2,NA,NA,0.16,0.001818182,0.011363636
MED,NA,11076,NA,NA,mf,diptera,4656,2000,470,NA,6,NA,NA,0.235,0.003,0.012765957
MED,NA,11032,NA,NA,mf,diptera,4676,2700,560,NA,7,NA,NA,0.207407407,0.002592593,0.0125
MED,NA,22877,NA,NA,mf,diptera,4718,2703,1451,NA,2,NA,NA,NA,NA,0.00137836
MED,NA,19321,NA,NA,mf,diptera,4751,500,53,NA,3,NA,NA,0.106,0.006,0.056603774
TA,NA,11788,NA,mRNA,of,diptera,3097,2000,68,NA,4,NA,NA,0.034,0.002,0.058823529
TA,NA,11788,265,DNA,of,diptera,3097,2500,70,NA,2,NA,NA,0.028,0.0008,0.028571429
TA,NA,15306,NA,mRNA,of,diptera,3133,6000,296,NA,6,NA,NA,0.049333333,0.001,0.02027027
