order,species,label,paper_id,inj,g0,X,g0.lambda,study
Lepidoptera,Bombyx mori,B.mori,NA,1058,230,3,0.013043478,Tamura_2000
Lepidoptera,Bombyx mori,B.mori,NA,1440,424,9,0.021226415,Tamura_2000
Lepidoptera,Plutella xylostella,P.xylostella,NA,3104,584,4,0.006849315,Martins_2012
Lepidoptera,Plutella xylostella,P.xylostella,NA,1925,1462,7,0.004787962,Martins_2012
Lepidoptera,Plutella xylostella,P.xylostella,NA,2410,922,6,0.006507592,Martins_2012
Lepidoptera,Plutella xylostella,P.xylostella,NA,1202,463,3,0.006479482,Martins_2012
Diptera,Anopheles stephensi,A.stephensi,NA,337,NA,5,NA,Catteruccia_2005
Diptera,Anastrepha ludens,A.ludens,NA,NA,247,12,0.048582996,Condon_2007
Diptera,Anastrepha ludens,A.ludens,NA,NA,132,12,0.090909091,Condon_2007
Diptera,Ceratitis capitata,C.capitata,NA,NA,NA,NA,NA,Gong_2005
Diptera,Aedes aegypti,A.aegypti,NA,2000,225,3,0.013333333,Kokoza_2001
Diptera,Aedes albopictus,A.albopictus,NA,6000,550,6,0.010909091,Labbe_2010
Diptera,Aedes albopictus,A.albopictus,NA,604,32,1,0.03125,Labbe_2010
Diptera,Aedes albopictus,A.albopictus,NA,2052,86,1,0.011627907,Labbe_2010
Diptera,Aedes albopictus,A.albopictus,NA,2165,161,2,0.01242236,Labbe_2010
Coleoptera,Tribolium castaneum,T.castaneum,NA,509,146,61,0.417808219,Lorenzen_2003
Coleoptera,Tribolium castaneum,T.castaneum,NA,314,95,38,0.4,Lorenzen_2003
Coleoptera,Tribolium castaneum,T.castaneum,NA,459,152,36,0.236842105,Lorenzen_2003
Coleoptera,Tribolium castaneum,T.castaneum,NA,612,50,12,0.24,Lorenzen_2003
Coleoptera,Tribolium castaneum,T.castaneum,NA,392,55,12,0.218181818,Lorenzen_2003
Lepidoptera,Pectinophora gossypiella,P.gossypiella,NA,5974,86,3,0.034883721,Peloquin_2000
Lepidoptera,Pectinophora gossypiella,P.gossypiella,NA,1911,0,0,0,Peloquin_2000
Diptera,Ceratitis capitata,C.capitata,NA,500,135,2,0.014814815,Morrison_2009
Diptera,Drosophila suzukii,D.suzukii,NA,75,33,4,0.121212121,Schetelig_2013
Lepidoptera,Bombyx mori,B.mori,NA,5000,367,18,0.049046322,Zhuang_2010
Lepidoptera,Bombyx mori,B.mori,NA,2600,32,0,0,Zhuang_2010
Lepidoptera,Bombyx mori,B.mori,NA,2400,27,5,0.185185185,Zhuang_2010
Hymenoptera,Athalia rosae,A.roase,NA,278,57,3,0.052631579,Sumitani_2003
Diptera,Anastrepha suspensa,A.suspensa,NA,NA,NA,NA,NA,Schetelig_2012
Lepidoptera,Ostrinia furnacalis,O.furnacalis,NA,NA,NA,NA,NA,Liu_2012
Diptera,Bactrocera tryoni,B.tryoni,NA,155,19,2,0.105263158,Raphael_2011
Diptera,Bactrocera tryoni,B.tryoni,NA,465,39,4,0.102564103,Raphael_2011
